(-0.000429063,-0.00145103)
(-0.00129124,-0.000713545)
(-0.001012,-0.0077476)
(0.00516255,-0.00414604)
(-0.00173476,-0.00941523)
(0.00629036,-0.0124109)
(-0.000290875,-0.0104222)
(0.0042924,-0.0121106)
(-0.000376035,-0.00633964)
(0.00760743,-0.00830937)
(-0.0010539,-0.0024434)
(0.00450005,-0.00600901)
(-0.00295119,-0.0043375)
(0.00273179,-0.00994034)
(-0.00397903,-0.00490145)
(0.00087705,-0.00825701)
(-0.00127244,-0.00323741)
(-0.00206616,-0.00223458)
(0.00151419,0.00169048)
(-0.00362776,-0.00446516)
(0.00196041,-0.00241598)
(-0.00127208,-0.00152085)
(0.0066425,-0.0115511)
(0.00595703,-0.0081919)
(0.00673444,-0.0110452)
(0.00865707,-0.0148424)
(0.00375707,-0.01324)
(0.0108782,-0.0125012)
(0.0026924,-0.0105679)
(0.00716365,-0.0149051)
(-0.00111408,-0.00705255)
(0.0052638,-0.0126851)
(-0.0062834,-0.00557831)
(0.00613028,-0.0123973)
(-0.00860225,-0.00868768)
(0.00206182,-0.00756459)
(-0.00242523,-0.00568318)
(-0.00306032,-0.00129996)
(0.00158656,0.000823844)
(-0.00383162,-0.00262383)
(0.00529994,-0.00443685)
(0.00252536,0.00149941)
(0.0115853,-0.00873276)
(0.00702608,-0.00578459)
(0.00981773,-0.010814)
(0.0139194,-0.0128312)
(0.00429461,-0.0056668)
(0.0150994,-0.0101716)
(-0.0028169,-0.00954704)
(0.00988597,-0.00361892)
(-0.00355761,-0.00965614)
(0.00558663,-0.00946359)
(-0.00323305,-0.0102546)
(0.00353234,-0.00893442)
(-0.0048059,-0.0137161)
(0.00152304,-0.010603)
(-0.00608831,-0.00390344)
(-0.000877311,-0.00555086)
(-0.00467192,0.00376794)
(0.000587059,0.00159693)
(0.00245667,-0.00675036)
(0.00215035,0.00164328)
(0.00602862,-0.00996714)
(0.00894491,-0.00708276)
(0.00716644,-0.00768245)
(0.0145114,-0.00888932)
(0.00373396,-0.00516044)
(0.0115175,-0.00593645)
(-0.00380709,-0.00919552)
(0.00838743,-0.00333073)
(-0.00226438,-0.00514403)
(0.00229403,-0.00990643)
(-0.00400515,-0.0090806)
(0.00245581,-0.00982979)
(-0.00426365,-0.00759664)
(0.0061938,-0.00824578)
(-0.00983577,-0.000858684)
(0.00198838,-0.00237882)
(-0.00228213,0.000624838)
(0.00113477,-7.75786e-05)
(0.00438774,-0.00563935)
(0.00283345,9.01895e-05)
(-0.00298164,-0.00358258)
(0.00950776,0.000269387)
(0.00270717,-0.00637366)
(0.0112098,0.00230568)
(-0.00131077,-0.00364248)
(0.00741014,0.000451066)
(-0.00275823,-0.00682261)
(-0.00333644,0.00051108)
(-0.00881706,-0.00162942)
(0.00034033,0.00189428)
(-0.00731597,-0.00560188)
(-0.00312591,-0.00502089)
(-0.00246597,-0.00333317)
(-0.000758224,-0.00443748)
(-0.00827483,-0.000262646)
(-0.00279408,-0.000360307)
(-0.00409749,0.00583048)
(-0.00382111,0.00225195)
(0.000550018,-0.000996076)
(0.000265914,0.00122918)
(-0.000932746,-0.00118646)
(0.0105254,0.00421287)
(-0.00337198,0.00549188)
